Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
19877-DEL,Male,36.23,No,Delhi,7.0,27.22,,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,63.79,592.08,0.0,0.0,376.22,963.02,Stayed,,
58353-MAH,Female,46.72,Yes,Maharashtra,13.74,13.14,,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.16,540.76,39.56,9.93,94.3,620.15,Stayed,,
25063-WES,Male,51.68,No,West Bengal,4.0,34.35,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.53,290.01,0.0,0.0,137.04,412.09,Churned,Competitor,Competitor had better devices
59787-KAR,Male,80.05,No,Karnataka,3.0,21.29,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.74,1215.16,0.0,0.0,364.97,1568.55,Churned,Dissatisfaction,Product dissatisfaction
28544-TAM,Female,80.9,No,Tamil Nadu,3.03,7.95,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.46,261.07,0.0,0.0,21.98,291.94,Churned,Dissatisfaction,Network reliability
32750-TEL,Male,23.73,No,Telangana,9.08,1.99,Deal 5,Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.99,559.47,0.0,0.0,149.02,721.31,Stayed,,
84741-MAH,Female,68.56,Yes,Maharashtra,9.43,23.13,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.07,8131.02,0.0,0.0,736.19,8622.57,Stayed,,
65618-GUJ,Male,51.52,Yes,Gujarat,12.55,23.65,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,86.81,5534.47,0.0,20.01,826.59,6050.82,Stayed,,
64233-GUJ,Female,65.29,No,Gujarat,4.02,10.26,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,49.08,344.45,0.0,0.0,76.49,415.5,Stayed,,
23612-UTT,Female,42.52,No,Uttar Pradesh,3.01,1.02,,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,89.93,6244.18,0.0,0.0,1799.69,7819.2,Stayed,,
45397-RAJ,Male,49.14,Yes,Rajasthan,0.0,1.02,,No,,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.38,2416.68,0.0,0.0,0.0,2426.52,Stayed,,
53023-UTT,Male,25.36,Yes,Uttar Pradesh,6.15,21.77,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,114.91,8436.19,0.0,0.0,1173.78,10053.01,Stayed,,
13717-UTT,Male,55.29,Yes,Uttar Pradesh,15.68,25.52,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.0,354.57,0.0,0.0,96.07,451.78,Stayed,,
71897-MAH,Female,36.49,Yes,Maharashtra,8.13,5.86,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,103.58,7580.32,0.0,0.0,163.21,7532.1,Stayed,,
15776-UTT,Female,37.41,Yes,Uttar Pradesh,1.04,18.64,,No,,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,46.73,2608.97,0.0,0.0,0.0,2541.95,Stayed,,
56731-BIH,Female,54.76,Yes,Bihar,4.87,8.24,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,98.49,6753.6,0.0,0.0,2004.69,8989.57,Stayed,,
49302-GUJ,Female,47.68,No,Gujarat,13.65,3.94,,No,,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,60.76,2005.98,0.0,0.0,0.0,2051.18,Stayed,,
93520-GUJ,Female,68.19,No,Gujarat,13.29,19.57,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,74.26,73.97,0.0,0.0,7.88,78.13,Joined,,
73360-AND,Female,74.55,No,Andhra Pradesh,0.0,30.02,,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,64.27,2896.61,0.0,0.0,497.89,3310.13,Churned,Dissatisfaction,Limited range of services
36756-MAD,Male,65.75,Yes,Madhya Pradesh,15.45,33.15,,No,,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,24.86,24.92,0.0,0.0,0.0,25.45,Churned,Competitor,Competitor made better offer
